age,salary,experience,spending_score
36,68732,14,43
42,69782,9,70
35,62534,6,71
36,66454,7,49
38,62922,10,56
38,68616,8,49
39,83694,5,58
37,59025,10,57
32,57092,7,68
40,81769,12,73
32,68325,10,74
36,64647,7,54
33,78319,11,58
35,65155,8,43
36,84608,10,52
36,75423,9,70
36,66097,6,76
40,87258,7,48
36,65154,10,54
34,75937,7,60
38,72394,7,63
39,80414,6,52
31,82492,9,64
37,70256,12,55
37,63973,6,60
34,73680,8,65
39,64578,11,60
35,86107,8,56
35,71092,9,59
34,67077,6,59
35,71477,9,56
32,59223,8,57
31,62227,10,76
40,79603,10,66
32,64745,13,57
32,61625,9,67
29,74293,9,57
33,79486,8,72
31,75752,7,64
40,77968,9,59
38,63946,7,64
33,58626,8,44
42,82011,11,49
38,67419,6,48
34,67993,10,61
28,80626,11,77
42,74450,8,82
31,73647,4,66
30,87320,7,65
38,64852,11,42
42,77423,8,55
39,70456,6,52
37,72149,7,54
37,82228,10,58
38,74063,9,55
37,74306,8,40
36,78580,7,67
35,67080,7,49
35,63286,6,62
33,61642,11,81
34,54269,7,51
30,86450,10,35
35,61174,11,57
32,68230,10,71
32,67785,7,80
36,72459,9,48
39,76526,8,65
38,76884,6,55
30,65335,9,59
32,68663,6,86
38,72261,10,45
32,68010,7,63
34,82859,8,65
37,73928,9,71
32,75879,7,61
35,75303,9,63
31,79388,7,56
33,71448,10,63
36,59625,5,57
30,73198,8,66
36,64789,12,56
35,65771,6,64
37,74691,7,60
36,79906,9,71
39,70170,8,59
35,72471,9,42
34,83618,9,73
35,71926,9,51
37,90813,10,53
35,74524,9,54
35,55914,8,74
33,76027,9,39
33,73049,12,91
31,80318,8,71
40,75385,6,62
31,68892,10,59
33,60206,8,63
33,68328,4,65
38,63196,10,66
34,65356,7,66
39,74709,8,61
33,83359,9,58
36,73157,8,58
32,60433,9,58
41,73557,7,71
31,79573,9,66
36,65122,7,31
37,68928,9,67
36,70118,9,62
34,63721,6,60
35,75186,10,56
35,69032,7,71
35,73356,10,69
38,62900,9,52
42,66500,12,64
33,75779,8,50
31,67017,7,46
35,83816,8,54
43,66803,7,69
33,71797,10,70
40,77461,5,65
40,58653,6,67
33,55914,6,65
37,57795,10,54
40,80101,11,64
34,65585,8,68
34,90466,8,68
33,65486,8,72
32,71476,10,67
33,82337,6,64
31,86049,8,71
35,86492,10,60
33,79667,9,51
36,78193,8,58
30,74740,10,53
43,98980,16,98
45,112089,17,96
43,88391,14,75
44,99903,14,78
39,89981,13,79
46,102909,13,75
45,107095,21,82
43,96634,17,72
47,79166,12,69
48,101592,12,86
40,103494,16,86
43,103234,16,72
43,109886,16,89
42,91432,14,74
47,105442,15,83
44,109540,16,88
44,85771,15,80
39,102557,11,85
47,95967,15,75
41,99348,13,78
45,102781,15,78
46,96102,21,73
49,94594,16,78
41,100273,14,65
36,91302,17,75
46,91313,16,77
50,105435,16,77
49,90810,16,78
46,105331,19,79
44,103701,13,85
47,86194,16,89
42,94579,13,74
46,109553,16,68
47,92151,13,70
48,96285,14,75
53,103696,14,76
46,106267,17,72
43,97988,17,67
45,95220,13,75
40,111379,15,82
43,113911,14,86
44,107831,12,74
43,100683,15,76
45,93534,14,71
43,93356,20,80
48,104180,16,72
45,103347,12,86
45,111213,14,62
44,105204,17,76
45,87975,19,83
47,108416,12,82
42,92016,11,100
43,96928,19,83
44,102002,16,70
41,115965,13,79
43,124879,16,62
44,104854,10,79
48,98534,15,72
46,104276,16,89
46,107101,17,75
48,97435,13,79
45,114362,15,74
46,101841,13,97
45,103982,16,77
46,105327,13,98
43,103373,14,88
38,106712,13,85
45,95062,16,84
49,95534,17,84
48,91199,15,61
48,103516,15,77
49,106231,12,88
45,103662,14,80
46,113396,15,66
43,99955,20,79
44,105350,13,97
47,91266,18,92
49,96903,17,79
45,105564,16,90
44,106793,19,76
45,97648,16,63
47,99427,16,71
41,87857,15,96
38,97144,17,77
43,107123,17,78
41,104602,14,77
43,104005,12,99
45,100398,15,96
44,100057,13,100
49,94717,15,78
46,105591,17,83
46,103368,14,65
47,103936,15,95
42,95792,15,68
48,82773,17,82
45,108777,11,69
47,96169,14,74
42,93098,15,72
40,105548,17,74
47,96864,14,75
46,108479,11,75
42,104936,16,88
42,105469,14,69
48,89072,13,82
41,109696,14,92
50,102090,15,75
42,97046,14,73
47,101147,11,78
44,85790,17,92
47,103269,18,82
43,91765,16,75
45,89179,13,85
45,87821,15,69
42,108902,15,87
47,94966,16,84
43,112270,16,77
44,95714,14,72
42,86341,15,71
37,91068,16,85
44,109886,18,92
52,98753,16,74
47,95614,17,85
45,101280,15,59
44,104014,18,74
45,108939,16,80
47,111588,13,71
41,97122,18,71
48,89392,16,73
47,96692,14,83
47,102082,14,78
46,92290,16,58
45,92343,16,59
47,102750,15,74
47,99611,16,85
44,100262,18,53
43,93932,17,75
45,98157,15,75
50,92606,17,94
41,107122,13,76
41,108282,16,84
45,85230,19,81
45,92564,15,59
46,88028,13,88
46,94800,14,82
44,99332,13,85
49,88403,13,100
40,92625,14,59
43,91968,12,97
45,101658,15,77
40,100555,17,83
44,94226,13,80
50,101415,18,76
45,95627,16,74
46,97827,17,83
41,113388,14,65
43,110724,17,88
44,89603,13,76
44,106638,17,69
49,106491,15,75
47,90814,16,93
42,106550,13,75
46,112303,13,84
46,91020,16,73
48,92660,13,88
50,108141,16,87
42,102172,12,98
43,104412,17,78
41,102725,13,87
44,103126,16,81
46,89388,16,93
48,108379,14,73
45,109357,16,87
44,98165,16,78
45,99652,14,79
42,87751,13,81
51,104114,11,83
40,104576,16,79
46,99502,12,82
51,108995,15,96
45,97327,14,90
44,104517,16,89
44,91843,14,75
44,99812,14,71
49,98605,16,90
38,101802,16,89
50,97044,16,95
41,98948,16,74
44,106608,12,78
44,96506,17,64
47,87147,16,76
40,113997,13,90
46,111052,15,75
51,89662,15,86
41,105518,15,78
46,95976,16,83
43,102108,18,69
46,102354,17,81
45,98125,12,50
43,93730,16,78
46,94476,18,64
50,92670,16,92
44,93345,17,88
47,99463,19,85
41,94274,17,95
42,105456,15,71
46,111898,17,97
49,95360,15,89
46,101915,15,78
44,103997,14,91
45,103776,18,69
41,100608,13,72
47,105941,18,74
48,103858,16,75
44,90099,12,69
44,106953,16,92
46,107098,11,77
44,93894,16,84
45,100304,17,74
51,105467,14,62
44,98325,15,83
44,108584,19,61
43,118911,14,79
47,93712,13,66
44,88952,18,100
43,102431,19,89
49,105773,15,81
49,98153,17,93
43,111626,18,72
39,89291,14,85
48,105543,14,82
43,95153,17,83
47,113755,18,93
39,115940,16,87
48,93867,13,83
41,95604,19,63
47,106877,14,70
45,96903,14,79
42,99637,16,81
44,100203,18,69
47,84643,17,100
45,99889,16,95
47,94482,16,86
51,96055,15,81
40,111549,16,78
50,89948,10,70
45,106506,14,81
42,97768,15,83
41,97762,13,68
44,106323,16,83
48,102720,15,78
24,54826,7,34
27,52385,4,43
29,55109,5,53
36,58465,5,36
32,52941,4,33
26,51185,2,20
31,42951,6,41
25,44302,5,60
33,59494,6,43
29,61491,4,40
30,48095,7,43
34,50368,3,40
26,42763,8,32
26,59382,2,48
28,55323,6,42
33,65530,6,40
25,42973,3,30
22,46976,6,53
29,51852,8,47
32,55172,1,34
34,48275,6,50
29,43016,0,35
29,57051,3,32
33,55769,8,32
24,42670,4,22
29,60844,3,45
31,59362,5,22
31,51074,9,28
28,50637,1,19
30,54432,3,39
23,43106,8,38
28,50240,9,37
31,32781,5,30
27,57012,3,28
30,37508,9,45
31,62027,8,34
29,47359,6,43
31,48307,3,31
27,44978,5,42
29,47696,5,53
32,61348,6,46
30,30098,8,36
28,60216,7,43
31,52704,3,38
32,40344,8,40
24,41398,6,37
33,63411,6,38
29,42436,8,42
31,40773,3,30
34,59099,5,30
26,52708,4,26
28,42497,2,24
29,51733,6,28
28,41794,10,42
35,58807,1,31
27,58491,5,45
28,54256,6,40
31,52893,5,20
26,64090,5,47
29,49997,2,48
31,40545,5,30
29,53596,3,44
30,66688,1,31
28,41882,7,41
25,47108,7,27
31,53332,5,22
35,49569,5,36
30,42142,7,39
31,58975,5,36
32,68560,7,28
26,51569,4,36
35,42767,8,43
31,37608,6,40
35,52064,5,42
28,58831,2,33
35,53801,6,52
32,49981,3,28
32,45286,4,45
31,41263,3,52
29,56678,3,45
34,57310,9,38
30,37634,8,35
24,62719,9,50
27,54593,3,26
29,61197,5,30
31,39263,2,36
30,39073,4,52
34,48808,3,44
24,54022,7,30
30,64371,4,37
25,55649,7,34
32,48059,6,33
30,41789,10,50
31,59840,2,26
27,42282,8,56
34,63028,7,48
33,47725,3,51
32,62725,7,35
30,55431,6,39
32,48904,5,26
28,45845,3,35
33,47273,4,45
35,53427,9,53
33,50617,5,29
28,45250,7,36
31,48675,3,38
26,50629,3,26
32,32970,7,46
31,53665,2,33
24,42162,4,38
27,40773,5,35
29,36501,5,32
29,35649,5,40
26,39156,6,38
31,44328,6,36
31,65626,6,33
29,45793,3,43
28,51422,4,57
33,53204,7,41
35,51049,7,50
29,49380,2,26
28,40438,6,42
31,61607,1,29
29,64458,5,25
30,36539,9,33
32,41808,3,52
24,47762,3,50
34,42284,7,42
30,54048,2,25
29,44174,4,38
30,67320,6,43
30,59524,4,42
25,51701,5,22
34,58216,6,31
30,58847,6,39
31,45488,6,45
33,43470,4,18
27,50625,6,38
31,56893,5,41
29,51112,6,48
33,37384,4,47
24,43577,5,46
30,49408,3,32
28,49395,5,21
31,65780,3,36
31,38912,3,50
28,54045,6,54
28,61913,5,47
30,68172,7,44
27,46765,4,44
33,53931,6,34
29,54558,6,39
21,51564,6,57
29,49209,3,31
27,53488,5,56
25,29742,6,37
26,55457,5,53
30,51009,1,26
34,48220,5,46
31,66375,9,33
28,44601,4,26
31,46775,4,42
29,65932,6,50
28,43344,6,32
27,45599,7,25
25,48824,2,39
29,56726,6,39
30,51662,6,45
30,39659,5,49
29,45743,6,39
27,45141,7,59
32,49382,7,42
26,53407,3,37
32,53346,7,24
27,35792,5,37
28,58512,5,37
26,52021,5,50
28,61076,5,45
33,53554,7,28
32,58811,5,42
33,53732,3,47
32,60770,4,55
27,54178,5,49
29,49217,7,48
28,68179,6,41
34,57112,3,44
26,54590,10,52
33,39790,6,27
33,39694,8,37
35,52342,5,32
29,51164,6,44
32,45087,7,52
37,51128,7,34
28,62709,7,16
25,55563,7,36
24,40872,4,49
32,49108,4,45
24,43560,6,44
29,46898,7,37
31,46691,5,27
31,46179,7,45
31,39959,8,32
31,48979,3,62
34,45515,3,46
27,26564,5,34
28,66424,6,34
28,58710,4,39
32,46990,8,38
33,50151,6,51
31,40627,5,42
34,63566,2,33
26,65178,2,59
35,51254,6,40
35,58188,1,48
32,51402,7,34
35,39306,5,44
25,46705,11,43
28,51055,10,21
28,46364,5,60
32,48251,5,53
27,49269,7,36
32,49353,8,29
34,50418,2,43
32,41515,1,41
31,44264,4,44
27,39723,6,42
27,57823,6,45
34,33155,7,54
32,59229,3,46
30,61091,0,30
29,47583,7,54
24,29175,3,56
27,47110,1,72
36,49487,5,29
26,41915,7,42
31,45878,5,19
33,62242,4,46
26,55319,5,35
31,42603,4,59
33,37219,2,32
30,47384,4,23
39,48292,6,35
25,53970,6,20
33,45717,5,48
29,54092,3,19
32,65481,5,40
31,56524,1,19
28,49615,5,37
31,48535,8,56
24,47147,2,44
